intellij_action_id,intellij_action_class,category,capability,engine_api,swiftui_entry,status,success_path,failure_path,test_evidence,notes
Vcs.Show.Shelf.Unshelve.MemberActions,platform.vcs-impl.UnshelveChangesAction+UnshelveChangesAndRemoveAction,stash,单 Shelf 成员直接 Unshelve / Unshelve and Remove,shelve_unshelve_paths_with_options,RebasedWorkspaceViews.swift: shelfMemberContextMenu+shelfItemView,completed,Shelf 文件成员右键和已选成员的 Shelf 行菜单提供保留 Shelf 与应用后移除两条非对话框入口；原有 Unshelve 对话框继续负责文件/hunk/目标 Changelist 选择；两条入口共用自动 Changelist、冲突快照与 Recently Deleted 生命周期；成员 Drop 产生的 Undo action 现在携带被删除路径并可跨重启路由；raw imported/hunk apply 已逐文件尝试，普通失败成员恢复并留在 remainder/Recently Deleted，成功成员保留，冲突暂停并保留快照,VFS dirty-scope 生命周期与精确 FilenameIndex 过滤仍缺，完整回收列表 action model 也未完全对齐；binary strip 排序已按 project base/最小 strip 对齐；revision-backed apply 已有真实文件级进度,arbor-engine/tests/shelve.rs::shelve_unshelve_selected_hunk_keeps_unselected_hunk_and_lifecycle + imported_shelf_skips_already_applied_hunks_and_applies_the_rest + imported_shelf_that_is_fully_applied_is_a_successful_noop + imported_shelf_keeps_successful_members_when_another_member_fails + imported_shelf_partial_apply_pauses_on_a_later_conflict,Aligned with UnshelveChangesActionBase
Vcs.Show.Shelf.RemoteActions,com.intellij.vcs.shelf.ShelfRemoteActionExecutor,remote-development,"Remote development Shelf actions",N/A,N/A,out-of-scope,-,-,-,"Requires IntelliJ remote backend/remote tree/plugin platform; product scope explicitly excludes plugin platform and IDE remote development."
Vcs.Show.Shelf.BatchDrop,platform.vcs-impl.ShelvedChangesViewManager.deleteShelves,stash,多选 Shelf 删除与恢复,shelve_drop + Codable semantic action,RebasedWorkspaceViews.swift: selected Shelf menu; WorkspaceOperations.swift: doShelveDropShelves,verified-partial,active Shelf 多选 Drop 按列表串行执行并显示 completed/total；成功项进入 Recently Deleted，并生成一个携带 name→原始 timestamp 映射、可跨重启执行的批量 Undo；失败项提供 Codable Retry Remaining Shelves；单项与批量 Shelf lifecycle 结果现在共用稳定通知 ID，仍缺完整回收列表 action model 与更细的 Recently Deleted 分组,-,ArborTests/CompareSelectionTests.swift::testShelfBatchDropActionRequestRoundTrips + testShelfBatchDeletionUndoActionPreservesAllOriginalTimestamps,Aligned with ShelvedChangesViewManager.deleteShelves and UndoShelfDeletionAction
Vcs.Show.Shelf.DifferentiatedProgress,platform.vcs.impl.ApplyPatchDifferentiatedDialog,stash,差异化 Shelf apply 文件级进度,shelve_unshelve_with_options_differentiated + shelve_unshelve_paths_with_options_differentiated + shelve_unshelve_selections_with_options_differentiated + shelve_pop_differentiated + shelve_pop_preservation + imported_patch_file_diff + git_progress_state,arbor-engine/src/shelve.rs + repo.rs + merge.rs + FeedbackCenter.swift,verified-partial,revision-backed active/Recently Deleted Unshelve、选中成员、Changelist drop 和用户可见 Pop 现在统一进入逐文件 executor：先对受影响路径建立可恢复 index/worktree 快照，再逐文件尝试，返回 applied/failed，普通失败成员恢复并保留在 remainder/Recently Deleted，成功成员保留或由 Pop 消费，冲突暂停并保留恢复快照；冲突完成后只消费已成功及已解决冲突成员，并恢复原始 index 边界；Pull/Checkout/Update/Rebase 的 preservation Pop 现在也强制使用同一 executor，在临时 index sidecar 缺失时仍按文件保留冲突恢复语义；Shelf/raw imported patch/hunk apply 先逐文本 hunk 使用 Git 正向/反向 check 跳过已应用片段；独立 Direct Apply Patch 继续按文件块尝试并返回 applied/failed partial result；imported patch apply 已支持手动 base-directory + 真实 path-strip 映射、project-scoped recursive 候选目录/父目录发现、package descendants 中的 tracked/untracked 文件与新增文件歧义回退 project root、按预期行号 ±100 且最多 5 个 split hunk 的上下文排序；imported preview 现在在隔离临时目录中按当前 worktree 试应用并生成 Local → Applied Patch diff,仍缺 MatchPatchPaths 的 VFS dirty-scope 生命周期、精确 FilenameIndex 过滤和完整回收通知分组,cargo test --test shelve::native_differentiated_unshelve_conflict_completion_restores_index_boundary + native_differentiated_pop_conflict_completion_consumes_only_attempted_members + preservation_pop_without_snapshot_uses_differentiated_conflict_restore + shelve_unshelve_then_drop + shelve_unshelve_merges_non_overlapping_local_edits + imported_patch_preview_differs_against_current_local_content + imported_shelf_can_apply_selected_paths_with_a_mapped_base_directory + imported_shelf_can_apply_selected_paths_with_a_path_strip + imported_shelf_can_apply_a_zero_path_strip_with_raw_endpoints + imported_shelf_skips_already_applied_hunks_and_applies_the_rest + imported_shelf_that_is_fully_applied_is_a_successful_noop + imported_shelf_keeps_successful_members_when_another_member_fails + imported_shelf_hunk_selection_keeps_failed_file_in_the_remainder + imported_deleted_shelf_remove_applied_keeps_failed_member_deleted + imported_shelf_partial_apply_pauses_on_a_later_conflict + direct_imported_patch_keeps_successful_members_when_another_member_fails + ArborTests/CompareSelectionTests.swift::testImportedPatchContextMatcherScoresSplitHunksWithFivePartCap + testImportedPatchContextMatcherSkipsPureInsertionsBeforePartLimit + testImportedPatchContextMatcherUsesExpectedLineWindow + testImportedPatchBaseSearchIncludesUntrackedPackageDescendants + testImportedNewPatchFallsBackToProjectRootForAmbiguousCandidates + cargo test + xcodebuild test + script/build_and_run.sh --verify,Aligned with ApplyPatchDifferentiatedDialog progress semantics
GitSingleRefActions.ShowDiffWithWorkingTree,git4idea.actions.ref.GitShowDiffWithRefAction,branch,主/多 root Branches Popup 引用与工作区比较,showBranchDiffWithWorkingTree,RebasedDialogs.swift: RebasedBranchesPopover / MultiRootBranchesPopover,completed,local/remote/tag 引用菜单均可从所属 root 打开 reference-vs-tracked-working-tree Changes Browser；tag 同时支持 Merge into Current，当前 tag 禁止危险切换/删除动作,-,xcodebuild test + cargo test --all-targets,主 Branches Popup 与 Log Dashboard 共用 root-qualified 工作区比较语义
GitBranchesDashboard.HeadSelection,git4idea.ui.branch.dashboard.BranchesDashboardActions,history,合成 HEAD 节点选择与动作组,HEAD + branch selection,LogSidebar.swift: LogBranchesPanel / MultiRootLogBranchesPanel,completed,HEAD 单选提供 Filter Log、Show Diff with Working Tree、New Branch from HEAD、New Working Tree from HEAD；HEAD 与同 root branch 双选提供 Compare Branches / Show Files Diff，并隐藏不适用的引用写操作,ArborTests/HostingProviderTests.swift::testBranchDashboardHeadSelectionUsesHeadOnlyActions + testBranchDashboardHeadAndBranchSelectionExposesPairComparisons,xcodebuild test,root-qualified HEAD selection semantics aligned with IntelliJ BranchesTreeSelection
Vcs.Internal.ExternalChangeEvents,platform.vcs-impl.VcsDirtyScopeVfsListener+git4idea.backend.GitVFSListener,index,外部文件/VFS 变更路径化监听与范围刷新,RepositoryFileChangeWatcher + RepositoryIndexRevisionMonitor,RepositoryIndexRevisionMonitor.swift: root-qualified RepositoryChangeEvent / RepositoryDirtyPath / RepositoryDirtyScope / RepositoryChangeBatch / RepositoryRefreshGate / repositoryWorktreeStatusPaths,verified-partial,每个发现的 Git root 均有独立递归 FSEvents 与 IndexRevision 兜底；事件经 350ms 去抖生成规范化去重路径，ContentView 再按 root 合并 scope/path/rename origin 后统一消费，created + modified 保留新建语义；纯 worktree 文件批次优先用 Git pathspec 做 status 增量合并，祖先覆盖路径会按 RootDirtySet 语义压缩，30 项同目录路径会提升为递归目录，目录/根路径/竞态回退全量；唯一设备号+inode 可证明的文件、目录及目录子项 rename 会配对旧/新路径并进入双端 status/dirty 更新；身份缺失或冲突时回退全量；.gitignore（含嵌套 ignore 文件）变化现在扩大为该 root 的全量 status，避免 ignored/untracked 可见性陈旧；同一 status 快照直接投影 Changes Browser Changelist；重叠刷新会把后续增量请求升级为全量，只有最新 ticket 能发布 status、metadata 与错误；递归父事件会传播到嵌套 root 并标记其全量 dirty；主 root 刷新 Commit 状态，非主 root 刷新 Roots/Branches/冲突/聚合 Log 快照；新增/删除/可靠 rename，以及身份缺失时仅对 basename 候选进入显式 one-to-one review、无法证明时只保守处理新端点，均按 GitVFSListener 设置触发 staging-area Add/Remove 并做真实状态过滤,仍缺逐文件 operation-state 细语义、原生 VFS permission/banner/action history 与 UI automation，以及无身份时 arbitrary basename rename 的更强恢复语义,ArborTests/RepositoryFileChangeMonitorTests.swift::testDirtyChangeMergingPreservesCreateAndDeleteSemantics + testRepositoryChangeBatchMergesScopesAndKeepsRenameOrigins + testRepositoryChangeBatchKeepsDifferentRootsIndependent + testClassifierNormalizesRelativePathsAndCoalescesDirectoryFlags + testWorktreeEventsBecomeSafeGitPathspecs + testIgnoreFileChangesInvalidateTheWholeWorktreeStatusScope + testRenameEventsFallBackUntilOldAndNewPathsCanBePaired + testPairedRenameStatusPathsIncludeBothEndpoints + testRenamePairingUsesFilesystemIdentityAndRejectsAmbiguousIdentity + testExternalVCSActionPathsOnlySelectUntrackedCreatesAndDeletedTrackedFiles + testExternalVCSActionPathsExpandDirectoryEventsAndIgnoreRenames + testExternalVCSActionPathsRoutePairedRenamesAndCaseOnlyMoves + testExternalVCSActionPathsReconcileUnpairedRenamesWithoutGuessing + testWorktreeAndGitMetadataChangesAreDeliveredWithSeparateScopes + testRepositoryMonitorKeepsNestedRootsQualified + testDirtyScopePreservesExactRecursiveAndRenameParentSemantics + testDirtyScopeWidensIgnoreAndUnpairedRenameEvents + testDirtyScopeManagerPacksMergesAndConsumesRootScopes + testDirtyScopeManagerEverythingIncludesRootButNotOutsidePaths + testDirtyScopeManagerTicketsDoNotCrossARefreshGeneration + testDirtyScopeCompactsAncestorsAndPromotesLargeFolders + testDirtyScopeManagerPropagatesRecursiveParentEventsToNestedRoots + testDirtyScopeManagerDoesNotPropagateExactFileEventsToNestedRoots + testRefreshGateInvalidatesStaleResultsAndWidensOverlappingIncrementalRefresh + arbor-engine/tests/changelist.rs::changelist_list_for_paths_projects_from_an_existing_status_snapshot + arbor-engine/tests/staging_model.rs::repository_can_stage_vfs_created_files_with_empty_index_blobs + arbor-engine/tests/console.rs::raw_git_commands_cover_external_vfs_add_and_remove_semantics + raw_git_commands_cover_external_case_rename_semantics,Root-qualified multi-root watcher；safe incremental status refresh；identity-backed file/directory/subtree rename routing implemented；staging-area empty-blob add implemented；structured dirty-scope projection added；ancestor path compression and 30-item directory promotion now feed status pathspecs；recursive parent events propagate nested-root dirty state；root-scoped event batch and dirty-scope manager lifecycle added；多候选/身份缺失或无法唯一配对 rename 的逐文件 operation-state 与完整 action lifecycle remains partial
Git.AddCommitToRemoteBranch.RootQualified,git4idea.actions.addCommit.GitAddCommitToRemoteBranchAction,history,多 root Log 中按提交所属仓库选择远程分支,logRepository(for: commits) + remote_branch_list,WorkspaceOperations.swift: addCommitsToRemoteBranchFromLog,verified-partial,同 root 选中提交从其所属 Repository 读取 remote-tracking refs；跨 root 混选安全禁用单仓库 replay,跨 root action 聚合、通知 action surface 与完整 UI automation 仍缺,ArborTests/CompareSelectionTests.swift::testLogCommitSelectionRequiresOneRootBeforeRemoteActions,Root-qualified remote source selection implemented
Vcs.Show.Shelf.RecentlyDeleted.MemberDelete,platform.vcs-impl.ShelvedChangesViewManager.MyShelveDeleteProvider,stash,Recently Deleted 文件成员永久删除,shelve_delete_deleted_paths + shelve_delete_deleted + Codable semantic action,RebasedWorkspaceViews.swift: deletedShelfMemberContextMenu; WorkspaceOperations.swift: doShelveDeleteDeletedPaths,verified-partial,已删除 Shelf 成员可单项或多选 path-scoped 永久删除；未选 patch chunks 保留，最后成员才清理 deleted ref/patch/metadata；失败保留 deleted members 并提供可跨重启 Retry action,非 UTF-8/旧式 patch 无法按成员切分或 root/Shelf 已变化时拒绝且不部分写入,arbor-engine/tests/shelve.rs::deleted_shelf_can_delete_selected_members_permanently + Arbor/ArborTests/CompareSelectionTests.swift::testDeletedShelfMemberDeleteActionKeepsRootAndPaths,Aligned with ShelvedChangesViewManager.MyShelveDeleteProvider; full deleted-tree keyboard/delete-provider lifecycle remains partial
Vcs.Internal.OperationRecoveryNotifications,git4idea.repo.GitRepositoryUpdater+git4idea.backend.vfs.GitVFSListener,index,按 Git root 发布可恢复 operation notification,N/A,WorkspaceOperations.swift: operationRecoveryNotificationFingerprint + loadMultiRoots,verified-partial,"主 root 与嵌套 root 的 operation-state 会在初次扫描、外部 Git metadata refresh 和状态变化时发布可执行 Continue/Skip/Abort/Open Recovery action；按标准化 root 与 operation fingerprint 去重，状态结束清理 fingerprint；VcsNotifier 四组现在映射到 Arbor 工作区/Operation Log 与 macOS native presentation（toolWindow/silent 不外发、standard 无声 banner、important 带声 banner，按 group 共享 thread，stable display ID 仍负责替换/expire）；未配对 rename 通过 full status reconciliation，缺少权威 oldPath 时不猜测旧端点","-","ArborTests/ReflogSelectionTests.swift::testOperationRecoveryNotificationFingerprintTracksRootRelevantState + testFeedbackCenterKeepsVcsNotifierGroupsAndExpiresDisplayID + ArborTests/CompareSelectionTests.swift::testVcsNotificationGroupsMapToNativePresentationAndSharedThreads + xcodebuild test","Root-scoped lifecycle and group mapping aligned; remaining native permission/action lifecycle, exact per-business display-id migration and UI automation"
Vcs.Internal.GitVFSListenerForceMove,git4idea.vfs.GitVFSListener.executeForceMove,index,case-only rename 的真实 Git move,N/A,WorkspaceOperations.swift: confirmAndPerformExternalVCSActions,verified-partial,case-only rename 现在执行 `git mv -f -- old new`，同时更新 worktree 与 index，并在完成后走 root-qualified refresh,无法唯一配对 rename 仍不执行猜测性 move；Git 命令失败保留原状态并反馈,arbor-engine/tests/console.rs::raw_git_commands_cover_external_case_rename_semantics + xcodebuild test,Aligned with GitVFSListener.executeForceMove; broader VFS lifecycle remains partial
Arbor.Current.OperationRecovery.NotificationLifecycle.2026-08-26,current verification override,index,root-qualified operation recovery notification lifecycle,operation_state + operationRecoveryNotificationID + FeedbackCenter,WorkspaceOperations.swift: doOperationContinue/doOperationSkip/doOperationAbort + finishStashConflict,verified-partial,"Continue/Skip/Abort now begin and publish paused, success, conflict, and failure results under the normalized Git-root recovery ID; stash restore conflicts retain the same ID through complete or retry; rebase completion with Undo intentionally switches to the dedicated Undo identity",Native VcsNotifier/DataContext/action lifecycle and UI automation remain partial,ArborTests/ReflogSelectionTests.swift::testOperationRecoveryNotificationIDIsRootQualifiedAndStable + testFeedbackCenterReusesOperationRecoveryEntryAcrossLifecycle + xcodebuild test + script/build_and_run.sh --verify,Current verification override for operation recovery notification continuity
Vcs.Push.Options,platform action reference,push_fetch,Push All options,run_multi_root_push_with_options / run_multi_root_push_with_force_options / run_multi_root_push_recovery_with_options,ContentView.swift: MultiRootPushOptionsDialog + WorkspaceOperations.swift,verified-partial,"Push tags All/Current Branch and Run git hooks apply to every selected root; Force and Force-with-lease apply per root; protected branches are blocked in the Rust engine; stale-lease roots expose root-scoped Force Push Anyway; options are preserved through failed-root retry and non-fast-forward Merge/Rebase recovery semantic actions","Deeper compound rollback and complete notification grouping remain partial","tests/multi_root.rs::multi_root_push_options_publish_tags_for_every_selected_root + tests/multi_root.rs::multi_root_force_push_applies_lease_mode_and_protected_branch_guard + tests/remote_config.rs::push_options_include_all_tags_and_follow_tags_only_annotated + tests/remote_config.rs::push_options_can_skip_pre_push_hook + ArborTests/CompareSelectionTests.swift::testMultiRootForcePushRetryActionRoundTripsLeaseOptions",
Git.Tag.Push.Transport,git4idea.actions.tag.GitPushTagAction,push_fetch,单 tag transport parity,tag_push_with_auth_and_cancel,WorkspaceOperations.swift: pushTag / pushTagInRoot / tagPushToRemote,completed,"单 tag 使用显式 tag refspec并复用 credential broker、取消句柄和 PushRejected 分类；非法 tag 在执行 git 前拒绝；取消返回 EngineError::Cancelled","-","tests/tags.rs::authenticated_tag_push_uses_the_shared_push_path + tests/tags.rs::tag_push_rejects_invalid_tag_names_before_running_git + tests/tags.rs::authenticated_tag_push_cancellation_returns_cancelled",
Git.Fetch.TagsMode,git4idea.fetch.GitFetchTagsMode,push_fetch,项目 Fetch tag policy,fetch_with_options_and_auth_and_cancel + fetch_remote_branch_with_options_and_auth_and_cancel + pull_with_options_and_auth_and_cancel,DiagnosticsLogger.swift: GitFetchTagsModeChoice / ProjectGitIncomingChangesSettingsView; WorkspaceOperations.swift: Fetch/Pull/Fetch All/remote branch Fetch/Checkout and Update/Push recovery; RepositoryIndexRevisionMonitor.swift: GitAutoFetchMonitor,verified-partial,"项目设置提供 Git default、Fetch and prune tags、Fetch all tags、Do not fetch tags；Rust 将策略贯穿单 root、多 root、指定 remote branch、Pull、显式 prune/unshallow、Checkout and Update、Push recovery 和自动 Fetch，旧兼容 API 默认保持 Git default",完整设置 UI automation 仍缺；兼容旧 API 的默认行为是有意保留，不代表项目设置漏接,tests/remote_config.rs::fetch_tag_modes_control_tag_download_and_pruning + ArborTests/CompareSelectionTests.swift::testFetchTagsModeIsProjectScopedAndDefaultIsGitDefault,对齐 GitFetchSpec.fetchTagsMode 的项目级 Fetch/Pull 路径
Arbor.Current.DirtyScopeLifecycle.2026-08-21,current verification override,index,外部 VFS dirty-scope 的 packed 生命周期,IntelliJ VcsDirtyScopeManagerImpl.retrieveScopes + changesProcessed,RepositoryIndexRevisionMonitor.swift + WorkspaceOperations.swift,verified-partial,"主刷新链已使用 retrieveScopes/changesProcessed：当前 root 批次进入 in-progress，刷新期间的新 worktree/metadata/rename 事件保留在 pending，批次携带 scope 与具体 dirtyPaths，完成后才允许下一批消费；RootDirtySet 式祖先压缩、目录提升、nested root 传播和逐文件 ledger 继续保留；唯一设备号+inode 的文件、目录及目录子项 rename 会先配对并路由双端 action",仍缺持久化 VFS/PSI FilenameIndex、多 content-root 索引模型、完整原生 ApplyPatchViewer editor/action lifecycle、多候选/身份缺失或无法唯一配对 rename 的安全旧端点 Remove、原生 permission/banner 与 UI automation,ArborTests/RepositoryFileChangeMonitorTests.swift::testDirtyScopeManagerKeepsEventMetadataWithPackedScope + testDirtyScopeManagerTicketsDoNotCrossARefreshGeneration + testRenamePairingUsesFilesystemIdentityAndRejectsAmbiguousIdentity + xcodebuild test,This row supersedes stale historical wording in Vcs.Internal.ExternalChangeEvents and Apply Patch rows
Arbor.Current.Shelf.DeleteProvider.2026-08-21,current verification override,stash,IntelliJ Shelf DeleteProvider 的原生 Delete action,MyShelveDeleteProvider.deleteElement + ShelveChangesManager.deleteShelves,RebasedWorkspaceViews.swift: shelfDeletePlan + unified shelf action menu + onDeleteCommand + WorkspaceOperations grouped callbacks,verified-partial,"整 Shelf 选择优先；跨 Shelf 成员按 Shelf 分组；active/recycled 调用现有可恢复 Drop，Recently Deleted 整组或成员走永久删除；顶部 action menu 与 Delete key 共享同一 selection plan/lifecycle engine；active 与 deleted 两侧的失效成员选择会在列表刷新后回收；跨成员组的 Apply/Unshelve、Drop、永久删除现在由串行 grouped runner 聚合为单通知、completed/total 进度和失败组 Retry，active member Drop 通过一个保留原始时间戳的批量 Undo 恢复",仍缺 IntelliJ DataContext/binary wrapper/navigatable provider、原生树编辑 action lifecycle、完整回收列表 action/display-id 分组与 UI automation,ArborTests/CompareSelectionTests.swift::testShelfDeletePlanMatchesIntellijDeleteProviderSelectionScope + testShelfMemberBatchRetryActionRequestRoundTripsGroupedPaths + xcodebuild test,This row supersedes the older RecentlyDeleted.MemberDelete row's full keyboard/delete-provider gap
Arbor.Current.Shelf.RenameDescription.2026-08-21,current verification override,stash,IntelliJ ShelvedChangeList Rename action,Repository.shelve_set_description + RenameShelvedChangeListAction semantics,RebasedWorkspaceViews.swift: shelfTitleView + shelfRenameKeyEquivalent + Rename menus; WorkspaceOperations.swift: renameShelveDescription,verified-partial,"Rename updates only user-facing description; active and Recently Deleted preserve stable name/object id/ref/patch; double-click/Enter/Escape/F2 and modal Rename are wired",仍缺 IntelliJ DataContext/tree-cell-editor/action lifecycle、精确 native notification model 与 UI automation,arbor-engine/tests/shelve.rs::shelve_set_description_keeps_stable_identity_for_active_and_deleted_lists + xcodebuild build,UI semantics aligned; legacy shelve_rename remains identity-rename compatibility API
Arbor.Current.RebaseRawTodoFallback.2026-08-22,current verification override,rebase,Interactive Rebase raw todo fallback,GitInteractiveRebaseFile.editCommits + GitRebaseEntry.Action.Other,arbor-engine/src/repo.rs: branch-scoped rebase_raw_todo_for_branch_with_options_and_policy + rebase_branch_with_raw_todo_and_policy + native message editor protocol; arbor-engine/src/roots.rs: per-root raw_todo; Arbor/RebasedDialogs.swift: RawRebaseTodoEditorView + RawRebaseMessageEditorView + MultiRootRebaseTodoEditorView,verified-partial,"single-root 与 multi-root 均可按目标 branch 捕获 Git 原生 todo，并由 SwiftUI 逐 root 编辑后原样回写，支持 label/reset/merge/exec/break/update-ref；reword/squash 消息、Continue 后再次消息编辑、取消、保存本地修改和 native pause lifecycle 已覆盖",完整通知分组与 UI automation 另计,参考 GitInteractiveRebaseEditorHandler.java + GitInteractiveRebaseFile.java；tests/rebase_options.rs 的 raw todo round-trip/message/continue/multi-root 回归 + xcodebuild,Audit correction: equivalent multi-root raw fallback is implemented; notification grouping and UI automation remain partial
Arbor.Current.ApplyPatchViewerLifecycle.2026-08-21,current verification override,stash,IntelliJ ApplyPatchViewer editor/action lifecycle,ApplyPatchViewer actions + MergeModelBase command/undo semantics,"ContentView.swift: MergeEditorBridge + ConflictDetailView; arbor-engine/src/repo.rs: diff_texts",verified-partial,"结果/Patch 编辑器多 change 选区批量 Apply/Ignore、统一 undo group、Local -> Result diff、未决 change 的 Continue/Finish Anyway 确认、Reset 后 hunk 状态重载",仍缺原生 Editor/DataContext、VFS/PSI FilenameIndex、多 content-root index、native notification/banner 与 UI automation,"Arbor/ArborTests/MergeParserTests.swift::testMergeEditorBridge_fullPatchSelectionMatchesMultipleChanges + testMergeEditorBridge_applyPatchHunkParticipatesInUndo + arbor-engine/tests/diff_behavior.rs::diff_texts_compares_snapshots_without_worktree_state + xcodebuild test",Core viewer action boundaries now verified; native IDE integration remains partial
Arbor.Current.FilenameIndexLifecycle.2026-08-21,current verification override,index,persistent project filename index lifecycle,RebasedPatchFilenameIndexStore.loadOrBuild + RebasedPatchFilenameIndexStore.invalidate,RebasedDialogs.swift + WorkspaceOperations.swift,verified-partial,"Apply Patch/Unshelve candidate index is persisted per Git root and content/excluded scope, validates Git indexed-path and directory revisions, invalidates at packed repository change delivery, and supports multiple explicit content roots with nested-root deduplication","Full IntelliJ VFS/PSI FilenameIndex, configurable IDE module/content-root model, native index notifications and UI automation remain partial",ArborTests/CompareSelectionTests.swift::testPatchFilenameIndexStorePersistsAndInvalidatesPerRepositoryRoot + testPatchFilenameIndexSupportsMultipleContentRootsAndExclusions + xcodebuild test,Lightweight project filename provider aligned to current product boundary
Arbor.Current.CfgStagingClean.2026-08-21,current verification override,index,attributes-aware staging checkout and diff,clean_worktree_bytes + checkout_worktree_bytes + normalize_worktree_for_diff + external conversion policy,arbor-engine/src/attributes.rs + repo.rs + merge.rs + conflict.rs + Arbor/DiagnosticsLogger.swift,verified-partial,"Built-in text/eol/core.autocrlf normalization now covers ordinary staging, partial staging, restore, edited conflict resolution, branch/tree materialization checkout and revision/worktree plus three-layer diff matching; target .gitattributes is ordered before sibling writes and target checkout conversions are preflighted before the real worktree changes; binary attributes preserve bytes; an explicit setting can execute custom clean/smudge filters and non-UTF-8 working-tree-encoding through a temporary object store and system Git with the shared timeout/process-group runner","Implicit external diff/merge drivers remain read-only by policy; explicit External Diff/External Merge actions use cancellable Git process groups; conversion results still need shared per-refresh caching for large repositories; native IntelliJ settings/action automation remains partial",arbor-engine/tests/attributes.rs::external_filter_opt_in_matches_git_clean_and_checkout + stage_rejects_custom_clean_filter_instead_of_silently_misindexing + checkout_rejects_target_clean_filter_before_mutating_worktree + arbor-engine/tests/diff_behavior.rs::text_attribute_normalizes_worktree_diff_matching + cargo test --workspace --all-targets + xcodebuild test,Current verification override for CFG-001 external conversion opt-in and default fail-closed behavior
Arbor.Current.MultiRootChangesBrowser.2026-08-22,current verification override,index,project-level multi-root Changes Browser staging,stage/unstage + stage_all/unstage_all + Codable mutation retry,RebasedWorkspaceViews.swift: MultiRootChangesBrowser + WorkspaceOperations.swift: stageMultiRootPath/unstageMultiRootPath/stageAllMultiRootPath/unstageAllMultiRootPath + multiRootChangesRetryFeedbackAction,verified-partial,"Git Roots Changes Browser provides root-qualified single-file Stage/Unstage, per-root Stage All/Unstage All, and context-menu actions; every mutation reopens the owning Repository and refreshes aggregate status; failures publish root/path-qualified Retry Stage, Retry Unstage, Retry Stage All, or Retry Unstage All semantic actions with a stable replacement notification ID, and the action survives FeedbackCenter/Operation Log reload","Native IntelliJ ChangesView/DiffManager lifecycle, broader cross-root action history, and UI automation remain partial",arbor-engine/src/repo.rs::stage + unstage + stage_all + unstage_all; Arbor/ArborTests/CompareSelectionTests.swift::testMultiRootChangesMutationRetryRequestsRoundTripRootAndPath + testFeedbackHistoryRestoresMultiRootChangesMutationRetryActionAcrossReload + xcodebuild test + script/build_and_run.sh --verify,Current verification override for the historical read-only multi-root Changes Browser gap
Arbor.Current.Log.RootNamesColumn.2026-08-21,current verification override,history,aggregate VCS Log root-name column,CommitInfo.repository_path + LogColumnLayout,LogGraphView.swift + LogSidebar.swift,verified-partial,"VCS Log Columns now includes a persisted, reorderable and resizable Root Names column; aggregate rows display the owning Git root's final directory component and retain the normalized full path in the cell tooltip; missing root paths fail closed to an em dash","Full IntelliJ dynamic/custom column extension points, asynchronous signature-status column and native JTable/UI automation remain partial",ArborTests/ReflogSelectionTests.swift::LogColumnLayoutTests + xcodebuild test + script/build_and_run.sh --verify,Current verification override for the historical Vcs.Show.Log dynamic-column gap
Arbor.Current.Log.SignatureStatusColumn.2026-08-21,current verification override,history,aggregate VCS Log commit signature status column,Repository.commit_signature_statuses + CommitSignatureInfo,LogGraphView.swift + LogSidebar.swift + ContentView.swift,verified-partial,"Commit Signature is a persisted, default-hidden, reorderable fixed-width Log column; Rust batches Git %G?/%GS/%GF for the loaded rows per root, SwiftUI loads it off the main actor, keys results by root-qualified commit identity, preserves verified/bad/none/unknown plus expiry/revocation/unavailable reasons, and discards stale generations","IntelliJ provider extension points, native JTable status renderer/lifecycle and UI automation remain partial",arbor-engine/tests/history.rs::signature_statuses_batch_preserves_requested_order_and_metadata_shape + arbor-engine/src/log.rs unit parser tests + ArborTests/ReflogSelectionTests.swift::LogColumnLayoutTests + script/build_and_run.sh --verify,Current verification override for GitCommitSignatureStatusProvider/GitCommitSignatureLoader parity
Arbor.Current.Log.CopyRevisionNumber.2026-08-21,current verification override,history,Log copy selected revision numbers,VcsDataKeys.VCS_REVISION_NUMBERS + CopyRevisionNumberAction,WorkspaceOperations.swift: copySelectedLogIDs + LogSidebar.swift: Copy Selected Revision IDs,verified-partial,"Selected revision IDs are reversed to oldest-to-newest and joined with spaces, matching IntelliJ's terminal-friendly clipboard format; empty selection remains disabled","Native DataContext/CopyProvider lifecycle and UI automation remain partial; single Reflog row copy intentionally keeps its separate new-revision format",ArborTests/CompareSelectionTests.swift::testCopiedRevisionIDsUseOldestToNewestSpaceSeparatedOrder + xcodebuild test,Current verification override for CopyRevisionNumberAction clipboard semantics
Arbor.Current.BranchCleanupClipboard.2026-08-21,current verification override,branch,Cleanup Branches clipboard payload,CleanupBranchesDialog CopyProvider,RebasedDialogs.swift: BranchCleanupDialogView,verified-partial,"Selected rows copy in displayed root/sort order as branch name, last commit date, and tracked branch separated by tabs; rows are newline-separated and empty fields are preserved","Native JTable row selection/DataContext CopyProvider lifecycle and UI automation remain partial",ArborTests/CompareSelectionTests.swift::testCleanupBranchesClipboardUsesIntellijTableColumnsAndOrder + xcodebuild test,Current verification override for CleanupBranchesDialog CopyProvider row format
